date,target
1/3/2005,190
1/4/2005,191.3
1/5/2005,189.25
1/6/2005,187.9
1/7/2005,190.3
1/10/2005,194.65
1/11/2005,193.3
1/12/2005,187.1
1/13/2005,184
1/14/2005,190.6
1/17/2005,201.85
1/18/2005,207.9
1/19/2005,202
1/20/2005,196
1/24/2005,209.3
1/25/2005,205.95
1/27/2005,207.45
1/28/2005,208
1/31/2005,209
2/1/2005,209
2/2/2005,219.45
2/3/2005,225.8
2/4/2005,231
2/7/2005,229
2/8/2005,232.45
2/9/2005,232
2/10/2005,229.95
2/11/2005,232
2/14/2005,235.2
2/15/2005,233
2/16/2005,234.5
2/17/2005,231.8
2/18/2005,227
2/21/2005,236.4
2/22/2005,232
2/23/2005,231.4
2/24/2005,231.4
2/25/2005,234.45
2/28/2005,256
3/1/2005,243.05
3/2/2005,233.7
3/3/2005,232.45
3/4/2005,234
3/7/2005,244
3/8/2005,247.9
3/9/2005,256
3/10/2005,263.6
3/11/2005,263
3/14/2005,269.1
3/15/2005,267.05
3/16/2005,267
3/17/2005,252
3/18/2005,245.75
3/21/2005,245
3/22/2005,242
3/23/2005,237.85
3/24/2005,238
3/28/2005,237.5
3/29/2005,234.25
3/30/2005,265
3/31/2005,249.8
4/1/2005,241.7
4/4/2005,240.9
4/5/2005,243.8
4/6/2005,239.85
4/7/2005,239.6
4/8/2005,236.8
4/11/2005,229.9
4/12/2005,229.3
4/13/2005,229.95
4/15/2005,227.85
4/18/2005,225.6
4/19/2005,236
4/20/2005,233.95
4/21/2005,239
4/22/2005,243
4/25/2005,249.95
4/26/2005,248
4/27/2005,242.5
4/28/2005,242.7
4/29/2005,234
5/2/2005,236.95
5/3/2005,234.35
5/4/2005,232.75
5/5/2005,254.4
5/6/2005,245.45
5/9/2005,244.9
5/10/2005,241
5/11/2005,237
5/12/2005,240
5/13/2005,237.75
5/16/2005,233
5/17/2005,231
5/18/2005,225.4
5/19/2005,226
5/20/2005,222
5/23/2005,225.8
5/24/2005,229.95
5/25/2005,226
5/26/2005,226
5/27/2005,226.7
5/30/2005,229
5/31/2005,241.6
6/1/2005,241.4
6/2/2005,240
6/3/2005,235.5
6/6/2005,235.45
6/7/2005,234.3
6/8/2005,242
6/9/2005,239
6/10/2005,235.8
6/13/2005,233.5
6/14/2005,236.65
6/15/2005,232.9
6/16/2005,236.5
6/17/2005,237.5
6/20/2005,239
6/21/2005,237
6/22/2005,242
6/23/2005,248
6/24/2005,244.5
6/27/2005,244.45
6/28/2005,243.85
6/29/2005,244.1
6/30/2005,249.55
7/1/2005,251.9
7/4/2005,249.9
7/5/2005,255
7/6/2005,260
7/7/2005,260
7/8/2005,265
7/11/2005,270.7
7/12/2005,270.85
7/13/2005,273
7/14/2005,271.5
7/15/2005,260.95
7/18/2005,260
7/19/2005,259.8
7/20/2005,256.95
7/21/2005,251
7/22/2005,250
7/25/2005,256.25
7/26/2005,269.5
7/27/2005,268.5
7/29/2005,273.8
8/1/2005,269.5
8/2/2005,280
8/3/2005,284.4
8/4/2005,283.95
8/5/2005,277
8/8/2005,270
8/9/2005,264.5
8/10/2005,263
8/11/2005,264.2
8/12/2005,263.5
8/16/2005,265
8/17/2005,264.95
8/18/2005,264.8
8/19/2005,262
8/22/2005,263
8/23/2005,260.05
8/24/2005,250
8/25/2005,250
8/26/2005,250
8/29/2005,250.75
8/30/2005,250
8/31/2005,251.45
9/1/2005,255
9/2/2005,261.5
9/5/2005,269
9/6/2005,262.5
9/8/2005,263.8
9/9/2005,268
9/12/2005,272.45
9/13/2005,274.25
9/14/2005,273.7
9/15/2005,273
9/16/2005,271
9/19/2005,270
9/20/2005,282.4
9/21/2005,290.8
9/22/2005,286.2
9/23/2005,275
9/26/2005,281.75
9/27/2005,283.9
9/28/2005,279
9/29/2005,276.9
9/30/2005,269.45
10/3/2005,267.9
10/4/2005,268
10/5/2005,265.05
10/6/2005,260.85
10/7/2005,258
10/10/2005,261.95
10/11/2005,264.5
10/13/2005,259.8
10/14/2005,266
10/17/2005,264.6
10/18/2005,256.5
10/19/2005,254
10/20/2005,257
10/21/2005,244
10/24/2005,239.45
10/25/2005,234
10/26/2005,231
10/27/2005,228
10/28/2005,230
10/31/2005,239.95
11/2/2005,239.8
11/7/2005,240
11/8/2005,240
11/9/2005,244
11/10/2005,240
11/11/2005,243.5
11/14/2005,247.7
11/16/2005,254
11/17/2005,257
11/18/2005,257.9
11/21/2005,250
11/22/2005,246
11/23/2005,249.9
11/24/2005,251.7
11/25/2005,259
11/28/2005,261
11/29/2005,269.5
11/30/2005,274.5
12/1/2005,280.85
12/2/2005,284.85
12/5/2005,294.8
12/6/2005,296.9
12/7/2005,294.85
12/8/2005,292.5
12/9/2005,291.15
12/12/2005,293
12/13/2005,294
12/14/2005,311
12/15/2005,310
12/16/2005,294.65
12/19/2005,304.9
12/20/2005,298.95
12/21/2005,296.5
12/22/2005,303.45
12/23/2005,302
12/26/2005,296.1
12/27/2005,306.9
12/28/2005,315
12/29/2005,300.85
12/30/2005,290
1/2/2006,294
1/3/2006,291.9
1/4/2006,299
1/5/2006,305.75
1/6/2006,329.3
1/9/2006,325.7
1/10/2006,322
1/12/2006,318
1/13/2006,321.95
1/16/2006,325
1/17/2006,335
1/18/2006,324.9
1/19/2006,329.95
1/20/2006,342.4
1/23/2006,373
1/24/2006,369.4
1/25/2006,347
1/27/2006,339.45
1/30/2006,339
1/31/2006,338.45
2/1/2006,343
2/2/2006,349
2/3/2006,338.45
2/6/2006,335.75
2/7/2006,362
2/8/2006,350
2/10/2006,344
2/13/2006,350
2/14/2006,359.95
2/15/2006,364
2/16/2006,352.7
2/17/2006,352.95
2/20/2006,346
2/21/2006,343.9
2/22/2006,337.5
2/23/2006,335
2/24/2006,326.85
2/27/2006,334.4
2/28/2006,335
3/1/2006,340
3/2/2006,347.95
3/3/2006,359.4
3/6/2006,363
3/7/2006,360.4
3/8/2006,376.4
3/9/2006,365.85
3/10/2006,366.95
3/13/2006,369.85
3/14/2006,425
3/16/2006,389.5
3/17/2006,384.25
3/20/2006,383
3/21/2006,373.5
3/22/2006,361
3/23/2006,358.8
3/24/2006,368
3/27/2006,364
3/28/2006,356.9
3/29/2006,352
3/30/2006,354
3/31/2006,358
4/3/2006,364.9
4/4/2006,372.5
4/5/2006,372
4/7/2006,368
4/10/2006,383
4/12/2006,369
4/13/2006,344
4/17/2006,341
4/18/2006,355.5
4/19/2006,364
4/20/2006,354
4/21/2006,352
4/24/2006,347.8
4/25/2006,349.8
4/26/2006,359.75
4/27/2006,364
4/28/2006,350
5/2/2006,368
5/3/2006,374.95
5/4/2006,375.95
5/5/2006,372
5/8/2006,370
5/9/2006,369.7
5/10/2006,380
5/11/2006,372
5/12/2006,372
5/15/2006,366
5/16/2006,357.8
5/17/2006,349.95
5/18/2006,345
5/19/2006,339
5/22/2006,331.25
5/23/2006,325
5/24/2006,334.9
5/25/2006,310.8
5/26/2006,316
5/29/2006,313
5/30/2006,311.45
5/31/2006,299
6/1/2006,294.9
6/2/2006,313
6/5/2006,313.9
6/6/2006,304.05
6/7/2006,300.9
6/8/2006,284.95
6/9/2006,270
6/12/2006,265
6/13/2006,253.5
6/14/2006,250.5
6/15/2006,251.9
6/16/2006,271.9
6/19/2006,274.9
6/20/2006,271
6/21/2006,267.95
6/22/2006,291
6/23/2006,283
6/26/2006,290
6/27/2006,283
6/28/2006,276
6/29/2006,272.4
6/30/2006,269.5
7/3/2006,279.95
7/4/2006,285
7/5/2006,289.5
7/6/2006,288.7
7/7/2006,289
7/10/2006,278
7/11/2006,277.95
7/12/2006,279.9
7/13/2006,285.5
7/14/2006,281.8
7/17/2006,277
7/18/2006,260
7/19/2006,270
7/20/2006,265
7/21/2006,262.9
7/24/2006,279.2
7/25/2006,296.95
7/26/2006,317.85
7/27/2006,311.85
7/28/2006,307.45
7/31/2006,305.95
8/1/2006,304.9
8/2/2006,323
8/3/2006,327.5
8/4/2006,325.9
8/7/2006,325
8/8/2006,326.95
8/9/2006,329
8/10/2006,336
8/11/2006,337.8
8/14/2006,333.45
8/16/2006,334.95
8/17/2006,339
8/18/2006,332.75
8/21/2006,334.85
8/22/2006,333.5
8/23/2006,337.95
8/24/2006,337
8/25/2006,345.8
8/28/2006,350
8/29/2006,350
8/30/2006,350
8/31/2006,358.75
9/1/2006,349.65
9/4/2006,354
9/5/2006,354.9
9/6/2006,355.7
9/7/2006,354
9/8/2006,349.8
9/11/2006,343.9
9/12/2006,341
9/13/2006,342.85
9/14/2006,356.8
9/15/2006,352
9/18/2006,355.95
9/19/2006,354.9
9/20/2006,350
9/21/2006,360.5
9/22/2006,359.95
9/25/2006,356.4
9/26/2006,355.75
9/27/2006,372.05
9/28/2006,395
9/29/2006,396
10/3/2006,386.95
10/4/2006,386.9
10/5/2006,391.5
10/6/2006,402
10/9/2006,397.8
10/10/2006,393.85
10/11/2006,393
10/12/2006,400
10/13/2006,411.95
10/16/2006,432
10/17/2006,421.9
10/18/2006,425
10/19/2006,421.9
10/20/2006,421
10/23/2006,419.8
10/26/2006,423.85
10/27/2006,426.5
10/30/2006,427
10/31/2006,436
11/1/2006,446.5
11/2/2006,448.8
11/3/2006,448
11/6/2006,442.9
11/7/2006,441
11/8/2006,437.95
11/9/2006,440.8
11/10/2006,450
11/13/2006,458
11/14/2006,477.45
11/15/2006,478
11/16/2006,491
11/17/2006,496
11/20/2006,492
11/21/2006,505.75
11/22/2006,512.9
11/23/2006,509.9
11/24/2006,503.9
11/27/2006,508
11/28/2006,494.95
11/29/2006,498.95
11/30/2006,479.9
12/1/2006,494.9
12/4/2006,506
12/5/2006,502
12/6/2006,498
12/7/2006,492
12/8/2006,486
12/11/2006,465
12/12/2006,448
12/13/2006,448
12/14/2006,453.75
12/15/2006,463.5
12/18/2006,476
12/19/2006,479
12/20/2006,490
12/21/2006,469
12/22/2006,473
12/26/2006,465
12/27/2006,474.8
12/28/2006,477.9
12/29/2006,472.7
1/2/2007,471.5
1/3/2007,530
1/4/2007,484.75
1/5/2007,481
1/8/2007,472
1/9/2007,475
1/10/2007,472
1/11/2007,484.1
1/12/2007,501.4
1/15/2007,538
1/16/2007,562.9
1/17/2007,565.3
1/18/2007,555
1/19/2007,549
1/22/2007,553.45
1/23/2007,549
1/24/2007,519.9
1/25/2007,517
1/29/2007,517
1/31/2007,539.45
2/1/2007,546.9
2/2/2007,615
2/5/2007,601
2/6/2007,572.95
2/7/2007,565.85
2/8/2007,570.4
2/9/2007,580.95
2/12/2007,573.55
2/13/2007,550
2/14/2007,524
2/15/2007,548.25
2/19/2007,563.7
2/20/2007,550
2/21/2007,541.9
2/22/2007,536.85
2/23/2007,522
2/26/2007,505
2/27/2007,501.5
2/28/2007,484
3/1/2007,489.7
3/2/2007,487.95
3/5/2007,465
3/6/2007,460
3/7/2007,447.9
3/8/2007,449.95
3/9/2007,469
3/12/2007,473
3/13/2007,501.8
3/14/2007,483.9
3/15/2007,492.5
3/16/2007,478
3/19/2007,476
3/20/2007,481.1
3/21/2007,484.85
3/22/2007,509
3/23/2007,540
3/26/2007,542
3/28/2007,515
3/29/2007,502.8
3/30/2007,494
4/2/2007,472
4/3/2007,472.9
4/4/2007,478
4/5/2007,460
4/9/2007,504.8
4/10/2007,506.1
4/11/2007,494.85
4/12/2007,465.5
4/13/2007,479
4/16/2007,477.7
4/17/2007,480
4/18/2007,476.7
4/19/2007,471
4/20/2007,470.8
4/23/2007,475
4/24/2007,477.5
4/25/2007,473
4/26/2007,473.8
4/27/2007,468.9
4/30/2007,469
5/3/2007,481.95
5/4/2007,488.8
5/7/2007,510
5/8/2007,515
5/9/2007,519
5/10/2007,540.7
5/11/2007,526.9
5/14/2007,534.25
5/15/2007,538
5/16/2007,544.4
5/17/2007,548
5/18/2007,549.75
5/21/2007,557
5/22/2007,572
5/23/2007,591
5/24/2007,585
5/25/2007,579
5/28/2007,577
5/29/2007,567
5/30/2007,574
5/31/2007,594
6/1/2007,587.85
6/4/2007,583
6/5/2007,585.8
6/6/2007,584
6/7/2007,577
6/8/2007,567
6/11/2007,568
6/12/2007,591
6/13/2007,593.4
6/14/2007,593.9
6/15/2007,603
6/18/2007,614
6/19/2007,617
6/20/2007,629
6/21/2007,627
6/22/2007,622
6/25/2007,620
6/26/2007,617.5
6/27/2007,606
6/28/2007,597.7
6/29/2007,607.9
7/2/2007,613.4
7/3/2007,628
7/4/2007,628
